code, lat, lng, point, alt, name, region, name_k, region_k
JA8/KK-019,43.2357,142.2835,10,1726,Ashibetsudake,Furano-city<JCC#0129>Sorachi(kamikawa)-gun<JCG#01043C>,芦別岳,北海道富良野市<JCC#0129>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-020,43.3608,142.7195,10,1668,Shimohorokamettokuyama,Kamikawa(Tokachi)-gun<JCG#01022B>Sorachi(kamikawa)-gun<JCG#01043C>,下ホロカメットク山,北海道上川郡新得町<JCG#01022B>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-021,43.0997,142.251,10,1668,Yuubaridake,Yubari-city<JCC#0109>Sorachi(kamikawa)-gun<JCG#01043C>,夕張岳,北海道夕張市<JCC#0109>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-022,43.7343,143.1174,10,1630,P1630,Kawakami(kawakami)-gun<JCG#01023B>,点1630,北海道上川郡上川町<JCG#01023B>
JA8/KK-023,43.3818,142.6058,10,1625,Maefuranodake,Furano-city<JCC#0129>Sorachi(kamikawa)-gun<JCG#01043B>,前富良野岳,北海道富良野市<JCC#0129>北海道空知郡上富良野町<JCG#01043B>
JA8/KK-024,43.9765,142.8868,10,1540,Maeteshiodake,Shibetsu-city<JCC#0120>,前天塩岳,北海道士別市<JCC#0120>
JA8/KK-025,43.3398,142.6321,8,1460,Dairokuyama,Furano-city<JCC#0129>Sorachi(kamikawa)-gun<JCG#01043C>,大麓山,北海道富良野市<JCC#0129>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-026,43.1978,142.2843,8,1453,Hachimoriyama,Yubari-city<JCC#0109>Sorachi(kamikawa)-gun<JCG#01043C>,鉢盛山,北海道夕張市<JCC#0109>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-027,43.5956,143.0732,8,1436,P1436,Kawakami(kawakami)-gun<JCG#01023B>,点1436,北海道上川郡上川町<JCG#01023B>
JA8/KK-028,43.6125,143.1301,8,1410,P1410,Kawakami(kawakami)-gun<JCG#01023B>,点1410,北海道上川郡上川町<JCG#01023B>
JA8/KK-029,42.9704,142.5978,8,1347,Soujyubetsu,Saru-gun<JCG#01031A>Yufutsu(kamikawa)-gun<JCG#01074A>,双珠別(三角点),北海道沙流郡日高町<JCG#01031A>北海道勇払郡占冠村<JCG#01074A>
JA8/KK-030,43.2971,142.291,8,1338,Nunobedake,Furano-city<JCC#0129>,布部岳,北海道富良野市<JCC#0129>
JA8/KK-031,43.0252,142.7091,8,1323,Karifuridake,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,狩振岳,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-032,44.0487,142.8781,8,1290,Osatsutou,Mombetsu-gun<JCG#01070H>Shibetsu-city<JCC#0120>,於察頭(三角点),北海道紋別郡滝上町<JCG#01070H>北海道士別市<JCC#0120>
JA8/KK-033,43.6842,143.0662,8,1253,P1253,Kawakami(kawakami)-gun<JCG#01023B>,点1253(樹海峰近傍),北海道上川郡上川町<JCG#01023B>
JA8/KK-034,43.6835,142.7401,8,1248,Hiukenai,Asahikawa-ku<JCC#0102>Kawakami(kawakami)-gun<JCG#01023K>Kawakami(kawakami)-gun<JCG#01023B>,日受内(三角点),北海道旭川市<JCC#0102>北海道上川郡東川町<JCG#01023K>北海道上川郡上川町<JCG#01023B>
JA8/KK-035,43.0786,142.5961,8,1239,Tomamusan,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,トマム山,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-036,43.9297,142.8303,8,1217,P1217,Kawakami(kawakami)-gun<JCG#01023B>Shibetsu-city<JCC#0120>,点1217(宇江内山近傍),北海道上川郡上川町<JCG#01023B>北海道士別市<JCC#0120>
JA8/KK-037,43.142,142.2875,8,1208,Kikkyodake,Minamifurano<JCG#01043C>,吉凶岳,北海道空知郡南富良野町<JCG#01043C>
JA8/KK-038,42.9417,142.571,8,1193,P1193,Saru-gun<JCG#01031A>Yufutsu(kamikawa)-gun<JCG#01074A>,点1193,北海道沙流郡日高町<JCG#01031A>北海道勇払郡占冠村<JCG#01074A>
JA8/KK-039,44.0096,142.7702,8,1176,Oketodake,Shibetsu-city<JCC#0120>,於鬼頭岳,北海道士別市<JCC#0120>
JA8/KK-040,43.1005,142.6185,8,1166,Ochiaidake,Minamifurano<JCG#01043C>,落合岳,北海道空知郡南富良野町<JCG#01043C>
JA8/KK-041,43.6589,143.0882,8,1154,P1154,Kawakami(kawakami)-gun<JCG#01023B>,点1154,北海道上川郡上川町<JCG#01023B>
JA8/KK-042,44.6659,142.4121,8,1129,Hakodake,Esashi-gun<JCG#01015B>Nkakagawa(Kamikawa)-gun<JCG#01050A>Nkakagawa(Kamikawa)-gun<JCG#01050C>,函岳,北海道枝幸郡枝幸町<JCG#01015B>北海道中川郡音威子府村<JCG#01050A>北海道中川郡美深町<JCG#01050C>
JA8/KK-043,43.0176,142.6028,8,1128,P1128,Yufutsu(kamikawa)-gun<JCG#01074A>,点1128,北海道勇払郡占冠村<JCG#01074A>
JA8/KK-044,43.0108,142.6285,8,1106,P1106,Yufutsu(kamikawa)-gun<JCG#01074A>,点1106(二ツ山近傍),北海道勇払郡占冠村<JCG#01074A>
JA8/KK-045,43.0075,142.5749,6,1081,P1081,Yufutsu(kamikawa)-gun<JCG#01074A>,点1081,北海道勇払郡占冠村<JCG#01074A>
JA8/KK-046,43.1332,142.5243,6,1063,Shamanshadake,Minamifurano<JCG#01043C>Yufutsu(kamikawa)-gun<JCG#01074A>,社満射岳,北海道空知郡南富良野町<JCG#01043C>北海道勇払郡占冠村<JCG#01074A>
JA8/KK-047,43.8971,142.8259,6,1027,Suribachiyama,Kawakami(kawakami)-gun<JCG#01023B>,摺鉢山,北海道上川郡上川町<JCG#01023B>
JA8/KK-048,43.9901,142.8134,6,1022,P1022,Shibetsu-city<JCC#0120>,点1022,北海道士別市<JCC#0120>
JA8/KK-049,44.0915,142.0858,6,1009,Santousan,Uryu-gun<JCG#01081A>,三頭山,北海道雨竜郡幌加内町<JCG#01081A>
